item_id,category,title,presenter,material_location
opening-reception,other,Opening reception,,
welcome-overview,other,Welcome and course overview,Course Faculty & Participants,
evening-social,other,Evening social,,
logan-panel-mixer,other,Logan panel mixer,,
course-dinner,other,Course dinner,,
post-dinner-social,other,Post-dinner social,,
free-day,other,Free day,,
end-party,other,End of course party,,
